Number,Title,Year,Runtime,Genre,Rating,Budget,Gross US & Canada,Votes,Metascore
255.,Michael Clayton,(2007),119 min,Crime -  Drama -  Mystery,7.2,"$25,000,000","49,033,882",169453,82
256.,A Time to Kill,(1996),149 min,Crime -  Drama -  Thriller,7.5,"$40,000,000","108,766,007",168774,54
257.,The Equalizer 2,(2018),121 min,Action -  Crime -  Thriller,6.7,"$62,000,000","102,084,362",168584,50
258.,Lethal Weapon 4,(1998),127 min,Action -  Crime -  Thriller,6.6,"$140,000,000","130,444,603",167329,37
259.,The Ghost Writer,(2010),128 min,Crime -  Drama -  Mystery,7.2,"$45,000,000","15,541,549",167157,77
260.,Date Night,(2010),88 min,Comedy -  Crime -  Romance,6.3,"$55,000,000","98,711,404",166591,56
261.,Bad Boys for Life,(2020),124 min,Action -  Comedy -  Crime,6.5,"$90,000,000","206,305,244",166348,59
262.,Sin City: A Dame to Kill For,(2014),102 min,Action -  Crime -  Thriller,6.5,"$65,000,000","13,757,804",165681,46
263.,Once Upon a Time in Mexico,(2003),102 min,Action -  Crime -  Thriller,6.3,"$29,000,000","56,359,780",165606,56
264.,The Mechanic,(2011),93 min,Action -  Crime -  Thriller,6.5,"$40,000,000","29,121,498",164708,49
265.,Jack Reacher: Never Go Back,(2016),118 min,Action -  Crime -  Drama,6.1,"$60,000,000","58,697,076",164642,47
266.,The Punisher,(2004),124 min,Action -  Crime -  Drama,6.4,"$33,000,000","33,682,273",164553,33
267.,The Green Hornet,(2011),119 min,Action -  Comedy -  Crime,5.8,"$120,000,000","98,780,042",162395,39
268.,The Maltese Falcon,(1941),100 min,Crime -  Film-Noir -  Mystery,8.0,"$375,000","2,108,060",161970,97
269.,M,(1931),99 min,Crime -  Mystery -  Thriller,8.3,,"28,877",161376,
270.,Dirty Harry,(1971),102 min,Action -  Crime -  Thriller,7.7,"$4,000,000","35,900,000",161331,87
